uid,pubdate,epubdate,source,authors,lastauthor,title,sorttitle,volume,issue,pages,lang,nlmuniqueid,issn,essn,pubtype,recordstatus,pubstatus,articleids,history,references,attributes,pmcrefcount,fulljournalname,elocationid,doctype,srccontriblist,booktitle,medium,edition,publisherlocation,publishername,srcdate,reportnumber,availablefromurl,locationlabel,doccontriblist,docdate,bookname,chapter,sortpubdate,sortfirstauthor,vernaculartitle
33049662,2020 Nov,2020 Sep 25,Crit Rev Oncol Hematol,"[{'name': 'Pessoa LS', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Heringer M', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Ferrer VP', 'authtype': 'Author', 'clusterid': ''}]",Ferrer VP,ctDNA as a cancer biomarker: A broad overview.,ctdna as a cancer biomarker a broad overview,155,,103109,['eng'],8916049,1040-8428,1879-0461,"['Journal Article', 'Review']",PubMed - indexed for MEDLINE,256,"[{'idtype': 'pubmed', 'idtypen': 1, 'value': '33049662'}, {'idtype': 'doi', 'idtypen': 3, 'value': '10.1016/j.critrevonc.2020.103109'}, {'idtype': 'pii', 'idtypen': 4, 'value': 'S1040-8428(20)30245-6'}]","[{'pubstatus': 'received', 'date': '2020/04/28 00:00'}, {'pubstatus': 'revised', 'date': '2020/07/17 00:00'}, {'pubstatus': 'accepted', 'date': '2020/09/07 00:00'}, {'pubstatus': 'pubmed', 'date': '2020/10/14 06:00'}, {'pubstatus': 'medline', 'date': '2020/10/31 06:00'}, {'pubstatus': 'entrez', 'date': '2020/10/13 20:17'}]",[],['Has Abstract'],,Critical reviews in oncology/hematology,doi: 10.1016/j.critrevonc.2020.103109,citation,[],,,,,,,,,,[],,,,2020/11/01 00:00,Pessoa LS,
30968746,2019 Jun,2019 Apr 10,Int J Biol Markers,"[{'name': 'Voith von Voithenberg L', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Crocetti E', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Martos C', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Dimitrova N', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Giusti F', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Randi G', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Rooney R', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Dyba T', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Bettio M', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Negrão Carvalho R', 'authtype': 'Author', 'clusterid': ''}]",Negrão Carvalho R,Cancer registries - guardians of breast cancer biomarker information: A systematic review.,cancer registries guardians of breast cancer biomarker information a systematic review,34,2,194-199,['eng'],8712411,0393-6155,1724-6008,"['Journal Article', 'Systematic Review']",PubMed - indexed for MEDLINE,256,"[{'idtype': 'pubmed', 'idtypen': 1, 'value': '30968746'}, {'idtype': 'doi', 'idtypen': 3, 'value': '10.1177/1724600819836097'}]","[{'pubstatus': 'pubmed', 'date': '2019/04/11 06:00'}, {'pubstatus': 'medline', 'date': '2019/12/19 06:00'}, {'pubstatus': 'entrez', 'date': '2019/04/11 06:00'}]",[],['Has Abstract'],,The International journal of biological markers,doi: 10.1177/1724600819836097,citation,[],,,,,,,,,,[],,,,2019/06/01 00:00,Voith von Voithenberg L,
34207103,2021 Jun 18,2021 Jun 18,Int J Mol Sci,"[{'name': 'Morand S', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Devanaboyina M', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Staats H', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Stanbery L', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Nemunaitis J', 'authtype': 'Author', 'clusterid': ''}]",Nemunaitis J,Ovarian Cancer Immunotherapy and Personalized Medicine.,ovarian cancer immunotherapy and personalized medicine,22,12,,['eng'],101092791,,1422-0067,"['Journal Article', 'Review']",PubMed - indexed for MEDLINE,3,"[{'idtype': 'pubmed', 'idtypen': 1, 'value': '34207103'}, {'idtype': 'pmc', 'idtypen': 8, 'value': 'PMC8234871'}, {'idtype': 'pmcid', 'idtypen': 5, 'value': 'pmc-id: PMC8234871;'}, {'idtype': 'doi', 'idtypen': 3, 'value': '10.3390/ijms22126532'}, {'idtype': 'pii', 'idtypen': 4, 'value': 'ijms22126532'}]","[{'pubstatus': 'received', 'date': '2021/04/26 00:00'}, {'pubstatus': 'revised', 'date': '2021/06/11 00:00'}, {'pubstatus': 'accepted', 'date': '2021/06/13 00:00'}, {'pubstatus': 'entrez', 'date': '2021/07/02 01:30'}, {'pubstatus': 'pubmed', 'date': '2021/07/03 06:00'}, {'pubstatus': 'medline', 'date': '2021/07/20 06:00'}, {'pubstatus': 'pmc-release', 'date': '2021/06/18 00:00'}]",[],['Has Abstract'],160,International journal of molecular sciences,doi: 10.3390/ijms22126532,citation,[],,,,,,,,,,[],,,,2021/06/18 00:00,Morand S,
37702170,2024,,Curr Med Chem,"[{'name': 'Gopinath SCB', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Ramanathan S', 'authtype': 'Author', 'clusterid': ''}, {'name': 'More M', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Patil K', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Patil SJ', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Patil N', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Mahajan M', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Madhavi V', 'authtype': 'Author', 'clusterid': ''}]",Madhavi V,A Review on Graphene Analytical Sensors for Biomarker-based Detection of Cancer.,review on graphene analytical sensors for biomarker based detection of cancer,31,12,1464-1484,['eng'],9440157,0929-8673,1875-533X,"['Review', 'Journal Article']",PubMed - indexed for MEDLINE,4,"[{'idtype': 'pubmed', 'idtypen': 1, 'value': '37702170'}, {'idtype': 'doi', 'idtypen': 3, 'value': '10.2174/0929867331666230912101634'}, {'idtype': 'pii', 'idtypen': 4, 'value': 'CMC-EPUB-134441'}]","[{'pubstatus': 'received', 'date': '2023/02/21 00:00'}, {'pubstatus': 'revised', 'date': '2023/05/01 00:00'}, {'pubstatus': 'accepted', 'date': '2023/06/22 00:00'}, {'pubstatus': 'medline', 'date': '2024/04/05 06:44'}, {'pubstatus': 'pubmed', 'date': '2023/09/13 06:42'}, {'pubstatus': 'entrez', 'date': '2023/09/13 05:43'}]",[],['Has Abstract'],,Current medicinal chemistry,doi: 10.2174/0929867331666230912101634,citation,[],,,,,,,,,,[],,,,2024/01/01 00:00,Gopinath SCB,
34607491,2022,2021 Oct 5,Nutr Cancer,"[{'name': 'Ramírez-Carmona W', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Díaz-Fabregat B', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Yuri Yoshigae A', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Musa de Aquino A', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Scarano WR', 'authtype': 'Author', 'clusterid': ''}, {'name': 'de Souza Castilho AC', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Avansini Marsicano J', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Leal do Prado R', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Pessan JP', 'authtype': 'Author', 'clusterid': ''}, {'name': 'de Oliveira Mendes L', 'authtype': 'Author', 'clusterid': ''}]",de Oliveira Mendes L,Are Serum Ferritin Levels a Reliable Cancer Biomarker? A Systematic Review and Meta-Analysis.,are serum ferritin levels a reliable cancer biomarker a systematic review and meta analysis,74,6,1917-1926,['eng'],7905040,0163-5581,1532-7914,"['Journal Article', 'Meta-Analysis', 'Systematic Review', ""Research Support, Non-U.S. Gov't""]",PubMed - indexed for MEDLINE,256,"[{'idtype': 'pubmed', 'idtypen': 1, 'value': '34607491'}, {'idtype': 'doi', 'idtypen': 3, 'value': '10.1080/01635581.2021.1982996'}]","[{'pubstatus': 'pubmed', 'date': '2021/10/06 06:00'}, {'pubstatus': 'medline', 'date': '2022/06/22 06:00'}, {'pubstatus': 'entrez', 'date': '2021/10/05 05:30'}]",[],['Has Abstract'],,Nutrition and cancer,doi: 10.1080/01635581.2021.1982996,citation,[],,,,,,,,,,[],,,,2022/01/01 00:00,Ramírez-Carmona W,
39505512,2024 Nov,,Investig Clin Urol,"[{'name': 'Kumar Am S', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Rajan P', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Alkhamees M', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Holley M', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Lakshmanan VK', 'authtype': 'Author', 'clusterid': ''}]",Lakshmanan VK,Prostate cancer theragnostics biomarkers: An update.,prostate cancer theragnostics biomarkers an update,65,6,527-539,['eng'],101674989,2466-0493,2466-054X,"['Journal Article', 'Review']",PubMed - indexed for MEDLINE,4,"[{'idtype': 'pubmed', 'idtypen': 1, 'value': '39505512'}, {'idtype': 'pmc', 'idtypen': 8, 'value': 'PMC11543649'}, {'idtype': 'pmcid', 'idtypen': 5, 'value': 'pmc-id: PMC11543649;'}, {'idtype': 'doi', 'idtypen': 3, 'value': '10.4111/icu.20240229'}, {'idtype': 'pii', 'idtypen': 4, 'value': '65.527'}]","[{'pubstatus': 'received', 'date': '2024/07/09 00:00'}, {'pubstatus': 'revised', 'date': '2024/09/02 00:00'}, {'pubstatus': 'accepted', 'date': '2024/10/10 00:00'}, {'pubstatus': 'medline', 'date': '2024/11/07 04:21'}, {'pubstatus': 'pubmed', 'date': '2024/11/07 04:20'}, {'pubstatus': 'entrez', 'date': '2024/11/06 21:33'}, {'pubstatus': 'pmc-release', 'date': '2024/11/01 00:00'}]",[],['Has Abstract'],97,Investigative and clinical urology,doi: 10.4111/icu.20240229,citation,[],,,,,,,,,,[],,,,2024/11/01 00:00,Kumar Am S,
38763973,2024 May 20,2024 May 20,Signal Transduct Target Ther,"[{'name': 'Zhou Y', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Tao L', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Qiu J', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Xu J', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Yang X', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Zhang Y', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Tian X', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Guan X', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Cen X', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Zhao Y', 'authtype': 'Author', 'clusterid': ''}]",Zhao Y,"Tumor biomarkers for diagnosis, prognosis and targeted therapy.",tumor biomarkers for diagnosis prognosis and targeted therapy,9,1,132,['eng'],101676423,2095-9907,2059-3635,"['Journal Article', 'Review', ""Research Support, Non-U.S. Gov't""]",PubMed - indexed for MEDLINE,3,"[{'idtype': 'pubmed', 'idtypen': 1, 'value': '38763973'}, {'idtype': 'pmc', 'idtypen': 8, 'value': 'PMC11102923'}, {'idtype': 'pmcid', 'idtypen': 5, 'value': 'pmc-id: PMC11102923;'}, {'idtype': 'doi', 'idtypen': 3, 'value': '10.1038/s41392-024-01823-2'}, {'idtype': 'pii', 'idtypen': 4, 'value': '10.1038/s41392-024-01823-2'}]","[{'pubstatus': 'received', 'date': '2023/06/05 00:00'}, {'pubstatus': 'accepted', 'date': '2024/04/02 00:00'}, {'pubstatus': 'revised', 'date': '2024/03/07 00:00'}, {'pubstatus': 'medline', 'date': '2024/05/20 00:43'}, {'pubstatus': 'pubmed', 'date': '2024/05/20 00:42'}, {'pubstatus': 'entrez', 'date': '2024/05/19 23:07'}, {'pubstatus': 'pmc-release', 'date': '2024/05/20 00:00'}]",[],['Has Abstract'],1387,Signal transduction and targeted therapy,doi: 10.1038/s41392-024-01823-2,citation,[],,,,,,,,,,[],,,,2024/05/20 00:00,Zhou Y,
31140618,2019 Dec,2019 May 29,J Cell Physiol,"[{'name': 'Khordadmehr M', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Jigari-Asl F', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Ezzati H', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Shahbazi R', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Sadreddini S', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Safaei S', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Baradaran B', 'authtype': 'Author', 'clusterid': ''}]",Baradaran B,A comprehensive review on miR-451: A promising cancer biomarker with therapeutic potential.,comprehensive review on mir 451 a promising cancer biomarker with therapeutic potential,234,12,21716-21731,['eng'],0050222,0021-9541,1097-4652,"['Journal Article', 'Review']",PubMed - indexed for MEDLINE,256,"[{'idtype': 'pubmed', 'idtypen': 1, 'value': '31140618'}, {'idtype': 'doi', 'idtypen': 3, 'value': '10.1002/jcp.28888'}]","[{'pubstatus': 'received', 'date': '2018/12/11 00:00'}, {'pubstatus': 'revised', 'date': '2019/05/07 00:00'}, {'pubstatus': 'accepted', 'date': '2019/05/09 00:00'}, {'pubstatus': 'pubmed', 'date': '2019/05/30 06:00'}, {'pubstatus': 'medline', 'date': '2020/06/11 06:00'}, {'pubstatus': 'entrez', 'date': '2019/05/30 06:00'}]",[],['Has Abstract'],,Journal of cellular physiology,doi: 10.1002/jcp.28888,citation,[],,,,,,,,,,[],,,,2019/12/01 00:00,Khordadmehr M,
38335385,2024 Feb 9,,Medicine (Baltimore),"[{'name': 'Guo M', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Zhao H', 'authtype': 'Author', 'clusterid': ''}]",Zhao H,Growth differentiation factor-15 may be a novel biomarker in pancreatic cancer: A review.,growth differentiation factor 15 may be a novel biomarker in pancreatic cancer a review,103,6,e36594,['eng'],2985248R,0025-7974,1536-5964,"['Review', 'Journal Article']",PubMed - indexed for MEDLINE,4,"[{'idtype': 'pubmed', 'idtypen': 1, 'value': '38335385'}, {'idtype': 'pmc', 'idtypen': 8, 'value': 'PMC10860926'}, {'idtype': 'pmcid', 'idtypen': 5, 'value': 'pmc-id: PMC10860926;'}, {'idtype': 'doi', 'idtypen': 3, 'value': '10.1097/MD.0000000000036594'}, {'idtype': 'pii', 'idtypen': 4, 'value': '00005792-202402090-00014'}]","[{'pubstatus': 'medline', 'date': '2024/02/11 16:42'}, {'pubstatus': 'pubmed', 'date': '2024/02/09 18:42'}, {'pubstatus': 'entrez', 'date': '2024/02/09 15:14'}, {'pubstatus': 'pmc-release', 'date': '2024/02/09 00:00'}]",[],['Has Abstract'],65,Medicine,doi: 10.1097/MD.0000000000036594,citation,[],,,,,,,,,,[],,,,2024/02/09 00:00,Guo M,
37754082,2023 Aug 25,2023 Aug 25,Biosensors (Basel),"[{'name': 'Qin Z', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Zhang J', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Li S', 'authtype': 'Author', 'clusterid': ''}]",Li S,Molybdenum Disulfide as Tunable Electrochemical and Optical Biosensing Platforms for Cancer Biomarker Detection: A Review.,molybdenum disulfide as tunable electrochemical and optical biosensing platforms for cancer biomarker detection a review,13,9,,['eng'],101609191,,2079-6374,"['Journal Article', 'Review']",PubMed - indexed for MEDLINE,3,"[{'idtype': 'pubmed', 'idtypen': 1, 'value': '37754082'}, {'idtype': 'pmc', 'idtypen': 8, 'value': 'PMC10527254'}, {'idtype': 'pmcid', 'idtypen': 5, 'value': 'pmc-id: PMC10527254;'}, {'idtype': 'doi', 'idtypen': 3, 'value': '10.3390/bios13090848'}, {'idtype': 'pii', 'idtypen': 4, 'value': 'bios13090848'}]","[{'pubstatus': 'received', 'date': '2023/07/26 00:00'}, {'pubstatus': 'revised', 'date': '2023/08/22 00:00'}, {'pubstatus': 'accepted', 'date': '2023/08/23 00:00'}, {'pubstatus': 'medline', 'date': '2023/09/28 06:43'}, {'pubstatus': 'pubmed', 'date': '2023/09/27 12:42'}, {'pubstatus': 'entrez', 'date': '2023/09/27 08:43'}, {'pubstatus': 'pmc-release', 'date': '2023/08/25 00:00'}]",[],['Has Abstract'],167,Biosensors,doi: 10.3390/bios13090848,citation,[],,,,,,,,,,[],,,,2023/08/25 00:00,Qin Z,
