,SAMPLE_000,SAMPLE_001,SAMPLE_002,SAMPLE_003,SAMPLE_004,SAMPLE_005,SAMPLE_006,SAMPLE_007,SAMPLE_008,SAMPLE_009,SAMPLE_010,SAMPLE_011,SAMPLE_012,SAMPLE_013,SAMPLE_014,SAMPLE_015,SAMPLE_016,SAMPLE_017,SAMPLE_018,SAMPLE_019,SAMPLE_020,SAMPLE_021,SAMPLE_022,SAMPLE_023,SAMPLE_024,SAMPLE_025,SAMPLE_026,SAMPLE_027,SAMPLE_028,SAMPLE_029,SAMPLE_030,SAMPLE_031,SAMPLE_032,SAMPLE_033,SAMPLE_034,SAMPLE_035,SAMPLE_036,SAMPLE_037,SAMPLE_038,SAMPLE_039,SAMPLE_040,SAMPLE_041,SAMPLE_042,SAMPLE_043,SAMPLE_044,SAMPLE_045,SAMPLE_046,SAMPLE_047,SAMPLE_048,SAMPLE_049
GENE_00000,398.75024437209413,111.98650338911608,539.3064903958991,3105.6138551158733,0.0,,3474.94034844539,0.0,57.74046277739302,437.0410156848694,58.44414871018832,58.174519743674814,239.56661114651328,,0.0,47.95830091667118,0.0,276.8294537426331,24.01932728674531,8.760908049993736,2768.8974813174327,94.0056004686278,169.0109271115437,8.54554922126843,49.70678842837786,185.27573583637368,14.850192752865238,314.62958828403964,44.644120555432906,82.8152729594624,44.54886940771283,6030.326106976507,144.46041863144728,0.0,768.999119265369,12.914009115397644,225.3663251419941,,10.418967073647876,220.02088457611734,649.9745186152154,209.08409979273915,,81.27127302782661,7.713376421427396,35.17415511403835,59.06995727830433,1229.3544244848692,0.0,4.3663162458397276
GENE_00001,273.56358596587563,66.23450727320346,36.948392631078946,486.2479716708715,1124.8052526109118,921.4296065335883,26.707144113932298,77.08751956875852,0.0,1006.7236238825352,54.87279400268806,98.69637245714733,15.653526042823218,13.07828076898324,,2155.6470291381206,123.8840320629974,0.0,294.90055445537007,39.37482436880333,294.75878883049194,3100.8739769990557,133.18166089399227,3270.353812237844,0.7587187965169154,768.0117317525363,176.63653318920876,0.0,0.0,2.786711343895076,,0.0,2852.0351024861284,52.63911967893335,29.459392634718466,54.406624091178315,925.9351829704772,0.0,51.443267188633186,414.2770140901604,180.2158138784878,1029.9751771364788,36.448263337041425,77.06704110941294,67.74723815816054,7.9483956537066875,268.336168391594,250.1624593876311,149.93875538471391,92.83518654193331
GENE_00002,8.70157148024172,63.621691774415105,74.3524102729718,29.656774597283054,106.87647197532007,331.07562943331584,6416.428450643518,209.22301678808034,246.98951956284847,127.14819447800363,3.179432407852548,139.9405056246214,166.45176092108423,20347.825870507084,100.43624959130234,269.7079772733247,137.66477784603808,14.25188313949395,1450.829516802876,663.8864917714455,717.8847332049113,23.938073234160452,0.0,8.940066233063234,477.21127194995233,11859.817109159501,20.469323479018804,47.818114913664196,181.1458902665339,54.219937522171776,0.0,0.0,17.73238400240938,382.6745393715451,23.597753847116238,3294.035902481601,0.0,77.9351419702377,755.2391354085463,12.657771408444377,233.9061272353325,2026.9460057219103,5.959779780878303,214.705584887656,249.5765267234177,708.851279469011,12.504625029619717,10.581283933405107,421.52670446918546,268.8004671257171
GENE_00003,243.32547193947985,294.80397860090085,37.839926205336475,234.60931269407126,264.9547836680745,35.32925594880927,6154.650534152213,380.3455109619424,13.610033019179232,548.1349163856347,20.990099972994305,711.6480266904622,1496.0826363002504,28.56121276868186,0.0,0.0,763.2110184113407,6548.558332340434,90.2549104505221,32.65316892525304,24.887990500657327,28.84087544615255,126.36958380916062,291.69775681295187,256.4146436211636,0.0,152.32307883152313,,87.41669944056156,34212.22561104457,518.7046756724312,26.727283221127006,17.43038598022172,389.5315372125743,94.92379666527596,618.93545126002,382.4030852041139,128.2962669175073,,7.172867827818281,60.762334330928326,822.8694726510845,227.73609676979308,12.2867622450486,209.8434657762241,,25.337490265831384,201.8349354050997,166.7369526725222,15.090409420779341
GENE_00004,332.7220889852502,499.34733011946474,1419.1811645335656,1338.5429589580804,10.343870450929659,24.930271136685988,455.6857319711345,0.0,455.6970505226677,361203.1547385715,0.0,1576.344966104666,1096.344102330933,598.5531676192588,86.59086837097293,742.2390003590315,34.677200474253254,101.30093485054614,61.62118708375338,191.61365514078034,16664.733292670546,3.885308808480753,641.784921278583,6.464341241165464,63.29897407341119,1310.155608079995,168.77391499339893,17.193139606070723,35.49502626590914,577.7813430451636,34.44165512306322,228.81576936122397,0.0,40.318051826005444,10806.338927364257,527.33606755138,2.5849723890500167,215.48873395343097,39.504993058518885,816.3691722214304,30.415687854011107,117.98141559049277,,838.4126387853363,13.455758906403986,76.02008094287025,57.40373538937506,40.178882025768985,5069.0488759890495,333.6069227513181
GENE_00005,0.0,787.6778537574392,8757.604530894141,990.5851392097236,6.0172200396108995,47.698366470172004,1583.174987564242,30.509141679305486,305.21124805240197,591.4832729550218,19.67806087462297,111.53233903191062,0.19220949480685634,0.0,75.8099078361346,10.358411896137861,3288.5035918789586,7.192814497263833,52.10580295953971,163.17878687601933,2243.7680017406,7.110986587754953,1286.5156564402666,128.230755623173,17.643156862673475,373.9817309621063,220.99042861532197,44.68179936602076,170.64820726756906,68.67414667002053,186.23972547488523,557.9455344150434,3540.536797311839,12.48301602415512,10573.08340628538,2.991647984510883,109.55534002300575,481.3691372897068,0.0,42.717170564701476,97.88129796699654,0.0,45.6621846554153,811.7595649545714,303.0903578956556,37.120924357441794,897.1290775466958,274.4033328556087,754.2502712575756,522.8306903571792
GENE_00006,28.742915634918162,49.206181981255085,0.0,,144.6877769054537,190.76381890309688,1942.4612579220918,46.21195673320235,450.598233816534,100.68492044138752,97.61380612071818,1358.226454352427,786.2022257453414,767.7012177204357,2053.5780897987547,157.336846999171,590.0972115192592,81.11337219849645,288.5054714697135,116.29094962616682,183.16241557047772,496.0592607458358,,9908.575738763477,20.17303038808119,13.087044539732844,1504.50880274999,722.9393903902336,517.1017347193834,521.4904796286545,144.8221523808694,24.667615179712385,172.7091760080176,38.30868285830685,1043.3995578564327,110.59614542573861,,78.04053074709238,338.9534927873411,48.06483815937431,28.661627546358282,0.0,242.24101061972405,53.84522079063115,57.854045888377456,0.0,8.197517110402906,8.891292715279604,35.27277985277077,96.8444125673319
GENE_00007,324.82270587132587,3334.8294439131037,969.503057428506,126.67025871930885,167.9106455330265,,0.0,97.91963625559941,0.0,33.348156543696426,492.82661100701023,3740.3789465867844,140.3226038511673,389.5093328334781,,78.18074879215428,273.04847554155583,178.86819314413623,212.04883013705077,0.0,183.18283096444776,0.0,3177.18733163456,1187.9756868014656,12936.774833379195,31.986210057716672,849.494335832683,214.15156488870915,11844.345579962495,29.470902754783328,27.67574272515193,44.75551642148352,2.121680686769335,51.85700136143668,32.5160780712789,200.4946519755875,293.9800628354323,6325.483026030893,993.1162000389251,46.81448617469124,,,10.586012835775412,0.0,1570.0774705786487,58.069971917739906,4.8246150142664845,2225.5174922203705,118.02781411098978,
GENE_00008,6.032729002283191,44.13727885605618,147.90086174595797,160.7766258159296,59.4968787891003,0.0,0.0,110.08973729069625,186.16736114237221,,607.4589208849308,15.437052299604906,6.806148911859892,1884.4823383563935,284.48565223045534,0.0,0.0,184.45472960785145,1547.8918152773572,167.51815938513096,9023.16687811654,4898.755546273147,0.0,1021.6729387125031,532.0868330164167,2292.190329233412,21.54520053688079,585.2873481161804,1232.5604775254592,4.404034387858115,13.922176141171997,0.0,86.59017280360762,623.3352596927502,2995.0437082782364,0.0,3855.4040450071975,9.39142541956666,4.919638839920933,0.0,319.9391744487379,139.01898462101775,2.375281127417035,124.1834516357476,,566.4252366731225,308.955264765016,22.651825106706365,53.104738700310776,17.842316300971312
GENE_00009,148.99389374828937,1140.8719975202782,23.51906633087256,462.8284879814647,0.0,34.588382285085345,0.0,0.0,55.81066093954378,0.0,8593.090971277012,181.2342914361446,,0.0,134.9099364930948,108.56231273301489,576.8584513819364,768.3758013881637,58.4552335525728,53.390190831976504,97.43252857089446,0.0,8.157040290633448,2599.3379396460296,4533.270601697751,0.0,470.17921292011766,276.5800550534093,70105.85667117548,1392.9092477377899,114.91179304307617,21.95333619866151,5.972152167351434,222.9454832261147,32.69749630682487,8.63214115894517,40.725491839887944,,4334.160742584404,865.4758868850283,146.06543662596974,2863.7529897919176,173.2501693043528,26.50760299577143,3122.0594854811134,436.07754688826407,18.643688887121236,101.42530779899923,25.75846969523064,9.34088067117434
